timestamp_iso,round_ts,round_clock,event,arb_id,contracts,cost_usd,profit_pct_at_event,k_yes_bid,k_yes_ask,p_yes_ask,p_no_ask,entry_arb_id,entry_cost_usd,entry_contracts,delay_seconds,min_contracts,pair_total_cost,pair_guaranteed_payout,pair_pnl_usd,pair_pnl_pct_of_budget
2026-04-25T19:00:22.413,1777154400,00:22,ENTRY,2,7.347,7.0765,3.8652,0.41,0.42,0.34,0.67,,,,,,,,,
2026-04-25T19:15:11.340,1777154400,15:00,NAKED_AT_CLOSE,2,7.347,7.0765,3.8652,0.41,0.42,0.34,0.67,,,,,,,,,
2026-04-25T19:15:22.575,1777155300,00:22,ENTRY,1,7.1702,7.0035,2.3808,0.46,0.47,0.53,0.48,,,,,,,,,
2026-04-25T19:21:17.780,1777155300,06:17,HEDGE_OK,2,7.1637,7.0452,1.6922,0.58,0.59,0.53,0.48,1,7.0035,7.1702,355,7.1637,14.0487,14.3274,0.2787,3.9808
2026-04-25T19:30:37.797,1777156200,00:37,ENTRY,2,7.7608,7.0022,10.8374,0.8,0.81,0.68,0.33,,,,,,,,,
2026-04-25T19:45:00.014,1777156200,15:00,NAKED_AT_CLOSE,2,7.7608,7.0022,10.8374,0.8,0.81,0.68,0.33,,,,,,,,,
2026-04-25T19:45:20.036,1777157100,00:20,ENTRY,2,8.014,7.004,14.4286,0.48,0.5,0.33,0.68,,,,,,,,,
2026-04-25T20:00:00.954,1777157100,15:00,NAKED_AT_CLOSE,2,8.014,7.004,14.4286,0.48,0.5,0.33,0.68,,,,,,,,,
2026-04-25T20:00:23.254,1777158000,00:23,ENTRY,2,7.3201,7.0036,4.5218,0.57,0.58,0.5,0.51,,,,,,,,,
2026-04-25T20:15:00.319,1777158000,15:00,NAKED_AT_CLOSE,2,7.3201,7.0036,4.5218,0.57,0.58,0.5,0.51,,,,,,,,,
2026-04-25T20:16:09.217,1777158900,01:09,ENTRY,2,7.1811,7.0033,2.5396,0.46,0.48,0.41,0.62,,,,,,,,,
2026-04-25T20:17:47.735,1777158900,02:47,HEDGE_OK,1,7.1662,7.045,1.7326,0.32,0.33,0.39,0.62,2,7.0033,7.1811,98,7.1662,14.0483,14.3325,0.2842,4.0602
2026-04-25T20:30:59.905,1777159800,00:59,ENTRY,2,7.3175,7.0056,4.4548,0.59,0.6,0.52,0.49,,,,,,,,,
2026-04-25T20:45:00.011,1777159800,15:00,NAKED_AT_CLOSE,2,7.3175,7.0056,4.4548,0.59,0.6,0.52,0.49,,,,,,,,,
2026-04-25T20:45:49.207,1777160700,00:49,ENTRY,1,7.1588,6.9937,2.3588,0.36,0.37,0.43,0.58,,,,,,,,,
2026-04-25T20:49:55.976,1777160700,04:55,HEDGE_OK,2,7.1085,7.0033,1.5029,0.44,0.45,0.4,0.61,1,6.9937,7.1588,246,7.1085,13.997,14.2169,0.22,3.1425
2026-04-25T21:00:23.521,1777161600,00:23,ENTRY,2,7.2657,7.0032,3.7507,0.42,0.43,0.36,0.65,,,,,,,,,
2026-04-25T21:05:05.264,1777161600,05:05,HEDGE_OK,1,7.2435,6.9938,3.5663,0.31,0.51,0.58,0.43,2,7.0032,7.2657,282,7.2435,13.997,14.4869,0.4899,6.9992
2026-04-25T21:15:22.410,1777162500,00:22,ENTRY,2,7.3489,7.0031,4.9402,0.4,0.41,0.33,0.68,,,,,,,,,
2026-04-25T21:19:12.697,1777162500,04:12,HEDGE_OK,1,7.1552,7.0429,1.6043,0.13,0.14,0.19,0.82,2,7.0031,7.3489,230,7.1552,14.0459,14.3103,0.2644,3.777
2026-04-25T21:30:38.318,1777163400,00:38,ENTRY,1,7.1746,7.0034,2.4457,0.49,0.5,0.56,0.45,,,,,,,,,
2026-04-25T21:37:03.427,1777163400,07:03,HEDGE_OK,2,7.1126,7.0025,1.5739,0.76,0.77,0.72,0.29,1,7.0034,7.1746,385,7.1126,14.0059,14.2253,0.2194,3.134
2026-04-25T21:45:22.638,1777164300,00:22,ENTRY,2,7.1702,7.0035,2.3808,0.53,0.54,0.48,0.53,,,,,,,,,
2026-04-25T21:54:43.250,1777164300,09:43,HEDGE_OK,1,7.1702,7.0035,2.3808,0.45,0.47,0.53,0.48,2,7.0035,7.1702,561,7.1702,14.007,14.3403,0.3333,4.7616
2026-04-25T22:00:22.512,1777165200,00:22,ENTRY,1,7.1811,7.0033,2.5396,0.53,0.54,0.6,0.41,,,,,,,,,
2026-04-25T22:04:54.508,1777165200,04:54,HEDGE_OK,2,7.1085,7.0033,1.5029,0.44,0.48,0.4,0.61,1,7.0033,7.1811,272,7.1085,14.0066,14.2169,0.2104,3.0053
2026-04-25T22:16:03.487,1777166100,01:03,ENTRY,1,7.2435,7.0387,2.9253,0.5,0.51,0.58,0.43,,,,,,,,,
2026-04-25T22:23:03.941,1777166100,08:03,HEDGE_OK,2,7.1399,7.0017,1.9746,0.83,0.84,0.79,0.22,1,7.0387,7.2435,420,7.1399,14.0404,14.2798,0.2394,3.4202
2026-04-25T22:30:37.855,1777167000,00:37,ENTRY,1,7.1661,7.0036,2.3221,0.43,0.44,0.5,0.51,,,,,,,,,
2026-04-25T22:34:29.264,1777167000,04:29,HEDGE_OK,2,7.2387,6.9939,3.4967,0.52,0.54,0.46,0.55,1,7.0036,7.1661,232,7.1661,13.9975,14.3322,0.3348,4.7822
2026-04-25T22:45:20.028,1777167900,00:20,ENTRY,2,7.3489,7.0332,4.5104,0.4,0.41,0.33,0.68,,,,,,,,,
2026-04-25T23:00:11.796,1777167900,15:00,NAKED_AT_CLOSE,2,7.3489,7.0332,4.5104,0.4,0.41,0.33,0.68,,,,,,,,,
