close_iso,ticker,classification,position,pair_pnl_usd,events,kalshi_result,poly_outcome,kalshi_strike,poly_price_beat,delta
2026-04-26T06:00:00+00:00,KXBTC15M-26APR260200-00,agree,HEDGED,0.3492,ENTRY|HEDGE_OK,no,down,78064.64,78066.06326,1.42
2026-04-26T06:15:00+00:00,KXBTC15M-26APR260215-15,agree,HEDGED,0.3358,ENTRY|HEDGE_OK,yes,up,78014.65,78002.85,-11.8
2026-04-26T06:30:00+00:00,KXBTC15M-26APR260230-30,agree,HEDGED,0.2701,ENTRY|HEDGE_OK,no,down,78041.65,78034.46999999999,-7.18
2026-04-26T06:45:00+00:00,KXBTC15M-26APR260245-45,agree,HEDGED,0.3616,ENTRY|HEDGE_OK,yes,up,77975.98,77965.92358999999,-10.06
2026-04-26T07:00:00+00:00,KXBTC15M-26APR260300-00,agree,HEDGED,0.2131,ENTRY|HEDGE_OK,no,down,78033.26,78031.32,-1.94
2026-04-26T07:15:00+00:00,KXBTC15M-26APR260315-15,agree,HEDGED,0.2204,ENTRY|HEDGE_OK,yes,up,78017.79,78017.29822,-0.49
2026-04-26T07:30:00+00:00,KXBTC15M-26APR260330-30,agree,HEDGED,0.1744,ENTRY|HEDGE_OK,no,down,78033.19,78026.51501999999,-6.67
2026-04-26T07:45:00+00:00,KXBTC15M-26APR260345-45,agree,HEDGED,0.2352,ENTRY|HEDGE_OK,no,down,78018.37,78016.06000000001,-2.31
2026-04-26T08:00:00+00:00,KXBTC15M-26APR260400-00,agree,HEDGED,0.3172,ENTRY|HEDGE_OK,yes,up,78002.66,77996.36,-6.3
2026-04-26T08:15:00+00:00,KXBTC15M-26APR260415-15,agree,HEDGED,0.3283,ENTRY|HEDGE_OK,no,down,78127.32,78122.24388,-5.08
2026-04-26T08:30:00+00:00,KXBTC15M-26APR260430-30,agree,HEDGED,0.2432,ENTRY|HEDGE_OK,yes,up,78103.83,78096.74251,-7.09
